à		Vit, I, E
da dẻ		Nc, Ng
bạc ác		Aa

nhè		Vt

be		Nc, Ng, Vt, Aa
lầm lũi		Aa
khó nhọc		Aa
gã		Nc, Nt

bồ các		Nc, Ng
Al		Np
bá hộ		Nc, Ng
ú a ú ớ		Aa

dã dề		Vit
bỉ bạc		Vt, Vim, Vtim
cứa		Vt
cà cộ		Aa

Cl		Np
bệ hạ		Na
bốc dỡ		Vt

sọc		Nc, Ng

bừa đĩa		Nc, Ng
gò bó		Vit, Aa
đè		Vt
bổ đề		Na

cá cóc		Nc, Ng
ám		Na, Vt
ách		Nc, Na, Vt, Aa

xoải		Vt, Aa

bố cục		Na, Vit
dũa		Vt
bồ bồ		Nc

ẵm		Vt
bạc đà		Nc
da bốc		Nc, Ng
bỏ bê		Vt
téc		Nc, Ng

de		Nc, Ng
bọ hà		Nc, Ng
đĩa		Nc, Ng
bọ đa		Nc, Ng

đa đa		Nc, Ng
am		Nc
ác độc		Aa

bè		Nc, Ng, Aa

cafê		Np
keo bẩn		Aa
bạc		Nc, Aa
bực bõ		Vitim
án		Na, Vt
ác đức		Aa
ào		Vit, Jd
bắc bậc		Aa
ồm ồm		Aa
ngóc		Nc, Vt
ầm		Aa
bài		Nc, Ng, Nu, Vt
ngón cái		Nc, Ng
dạ đề		Na

ảo		Aa
an		Aa
ái dà		E
có bề gì		X
bùa		Nc, Ng

tư chức		Na
đá gà		Vit
cá úc		Nc, Ng
cá bạc		Nc, Ng
na		Nc, Vt
âm		Nc, Ng, Vit, Aa
ao		Nc, Vt
đa hệ		Aa
gà gà		Vit
nách		Nc, Ng, Vt
ẩn		Na, Vit
bai		Nc, Vit
BCH		Np
bộ đồ		Nc, Ng
bộ hạ		Nc, Ng
ăn		Vt
đài		Nc, Ng, Aa
ác là		Nc, Ng
ba gác		Nc
cựa		Nc, Ng, Vt
vô chủ		Aa
áo		Nc
hồ đồ		Aa
cụ cựa		Vit
cắc cớ		Aa

ân		Na
ba gạc		Nc, Ng
áp		Vt
ghè		Nc, Vt
đẻ		Nc, Ng, Vt, Aa
nĩa		Nc, Ng
âm ỉ		Aa
gác bỏ		Vt
ầm ã		Aa
bãi		Nc, Ng, Vt
xanh tươi		Aa
ắp		An
ác mỏ		Nc, Ng
ba chỉ		Nc, Ng
dừa		Nc, Ng
bỗ bã		Aa
ăn ở		Vt
đãi		Vt
dạ cửa		Nc
phẫn chí		Vitim

ác mó		Nc, Ng
bà chúa		Nc
áo bò		Nc
gài		Vt
địa		Na, Aa

ba lá		Nc, Ng
bá chủ		Aa
ẩn ý		Na
bi-a		Nc, Ng

bào		Nc, Vt
ban		Na, Vt
bé dại		Aa

bắc		Na, Vt
võ sĩ đạo		Na
ấp		Nc, Nu, Vt
ghẻ		Nc, Ng, Aa
cặc bò		Nc, Ng

cả nể		Aa
bi ca		Na
áo bìa		Nc
bỏ đời		Vit

gá		Nc, Vt
ấm ức		Vitim, Aa
bác ái		Aa
bẻ		Vt
bả lả		Aa

ẩm độ		Na
ẩn dụ		Na
âm ba		Na
bách bổ		Aa
các		Nc, Nn, Vt
véc-tơ		Nc, Ng
bảo		Vt
gãi		Vit
ăn ý		Vit
đái		Nc, Vit
bazan		Np
bi da		Nc, Ng
As		Np
bắp		Nc, Ng
ghế bố		Nc, Ng
bợ đỡ		Vt
cam		Nc, Ng, Vtv
bô		Nc, Ng
ầm ì		Aa
bà mụ		Nc, Ng
bạc hà		Nc, Ng
cao		Nc, Nu, Nl, An
bập		Nc, Vt
ả đào		Nc, Ng
bác học		Nc, Na, Aa
cứa cổ		Vit
rách		Aa
bao		Nc, Na, Vt
bồ đài		Nc, Ng
kinh lí		Vit
ấp ủ		Vt
dan		Vt
acid		Np
át		Nc, Ng, Vt
báo bổ		Vt
bà già		Nc, Ng
cá đé		Nc, Ng
ca múa		Vit
bì bõm		Vit
ấn		Nc, Ng, Vt
ậm ực		Aa
bãi cá		Nc, Ng
ăn dỗ		Vt
băm bổ		Vit
ác cảm		Na
becjê		Np
dù dì		Nc, Ng
thả bộ		Vit
căn		Nu, Vit
be be		Vit
BCT		Np
bão		Nc
gái		Nc, Ng
ban bệ		Nc, Ng
ẩu		Aa
ai ai		Pp
bà gia		Nc, Ng
địa ốc		Nc, Ng

bác mẹ		Ng
bài bác		Vt
bè lũ		Nc, Ng
bổ di		Vit
ấu		Na
ảng		Nc, Ng
bị can		Nc, Ng
bà cô		Ng
tám		Nn
cờ bạc		Nc, Ng
ăn dở		Vit
bẻ bão		Vit
bê bê		Aa
boa		Na
bộ đội		Nc, Ng
ca cẩm		Vit
au		Aa
ái mộ		Vt, Vim, Vtim
ác hại		Aa
e dè		Vt, Vim, Vtim
cà gỉ		Aa
ban bố		Vt
cách cú		Na
bám		Vt
bách		Nc, Vt
bách bộ		Nc, Vit
ang		Nc, Ng
ái chà		E
âm cực		Nc
bê bối		Aa
dê		Nc, Ng, Vit, Aa
ậu		Na
áng		Nc, Nt, Vt
bìa giả		Nc, Ng
ập		Vit
bẹp		An
can cớ		Na
ba lê		Na
ái nữ		Nc
áp bức		Vt
ầm ĩ		Aa
bái		Nc, Ng, Vt
ca củm		Vit
cà kê		Vit, Aa
bàn		Nc, Ng, Vt
bạc má		Aa
bài bạc		Nc, Ng
anh		Nc
âm hộ		Nc
áy		Aa
bạch cúc		Nc, Ng
gồ ghề		Aa

ảnh		Nc, Ng, Pp
ba gai		Aa
ắt		Jd
béo bở		Aa
ba-dan		Np
ẩy		Vt
an ủi		Vt
âm đức		Na
én		Nc, Ng
bia		Nc
dầm dề		Aa
bá đạo		Nc, Ng, Na
bệch bạc		Aa
bàn cờ		Nc, Ng
chợ cóc		Nc, Ng
bàu		Nc, Ng
ba khía		Nc, Ng
ba-dơ		Np
bì bà bì bõm		Vit
ẹo		Vt
xệch		Aa
ẩm kế		Nc, Ng
bi ai		Aa
Br		Np
ẳng		Vit
búa gió		Nc, Ng
cá đao		Nc, Ng
ba-ta		Nc
à ơi		E
bài chỉ		Nc, Ng
bọ lá		Nc, Ng
can dự		Vit
ấy		Pd, I, E
cà na		Nc
bida		Nc, Ng
bí bách		Aa
bata		Np
ạ ơi		E
áo lá		Nc
ai đời		X
ghi		Nc, Vt, Aa
đại		Nc, An, Jd
báu		Aa
bạc bẽo		Aa
có ăn		Aa
ánh		Na, Aa
bạc đãi		Vt
bệ vệ		Aa
a-dốt		Np
amib		Np
bai bải		Aa
bằm		Vt
bạch		Vt, Aa
cao độ		Na, Aa
bọ gạo		Nc, Ng
bản bộ		Nc, Ng
bạc lạc		Aa
ấm a ấm ớ		Vit, Aa
bà xã		Nc, Ng
ả đầu		Nc, Ng
áp kế		Nc
độc giả		Nc, Ng
bực dọc		Vitim
Bắc Đẩu		Np
ái ân		Na, Vit
ất		Na
âu		Na, Vt, Vim, Vtim, Jr
bi kí		Nc
áo ấm		Nc
bày		Vt
a-lô		E
âm bội		Na
bản		Na
bẻ bai		Vt
bộ vị		Na
bảo hộ		Vt
bể cạn		Nc, Ng
ba đào		Na
cách bức		Vt
alô		E
âm chủ		Nc, Ng
ai bảo		X
bó hẹp		Vt
báo		Nc, Ng, Vt
ấm a ấm ứ		Vit, Aa
bác sĩ		Nc, Ng
ầm ừ		Vit
ắng		Aa
bại lộ		Vt
ca vũ		Vit
a dua		Vt
ào ào		Aa
bản gốc		Nc, Ng
bạch chỉ		Nc
cả cái		Vit
ấm oé		Aa
bảy		Nu
cá cấn		Nc, Ng
cải cúc		Nc, Ng
bù đắp		Vt
âu ca		Vit
bánh bò		Nc
áo dài		Nc
áp chế		Vt
bẻ ghi		Vit
chế độ		Na
an bài		Vit
âm học		Na
bản đồ		Nc, Ng
ái lực		Na
bài học		Nc, Ng
ấm áp		Aa
bán mạ		Vt
ác cái là		X
bãi chức		Vt
blốc		Np
bồ bịch		Na
áo cối		Nc
bụi đời		Na
balê		Nc, Ng
báo hỉ		Vit
cóc tía		Nc, Ng
âm âm		Aa
a-míp		Np
bào chế		Vt
cái ghẻ		Nc, Ng
bếp		Nc, Ng
bả dột		Nc, Ng
bặm bụi		Nc, Ng
bạch hạc		Nc
bàn đạc		Nc, Ng
bẻ khục		Vt
á hậu		Nc, Ng
ấm a ấm ức		Vitim, Aa
ăm ắp		An
bi bô		Vit
bạn bè		Na
bẽ		Aa
ba-dô-ca		Np
băng bó		Vt
ậm oẹ		Aa
bầy		Ng
ấn bản		Nc, Ng
ba lô		Nc
ảm đạm		Aa
ám hại		Vt
bạch đái		Nc
bổ báo		Vt
bõ già		Nc, Ng
ba cùng		Vit
bặm		Vt
âm ẩm		Aa
ba kích		Nc, Ng
ăn bám		Vt
ẩn nặc		Vt
áo bào		Nc
áo gió		Nc
béc giê		Nc, Ng
bủa		Nc, Vt
acre		Np
bảo bối		Nc, Ng
cặc bần		Nc, Ng
ăccoóc		Np
chờ đợi		Vt
âm bản		Nc, Ng
ăn bẩn		Vit
ai lại		X
bộc phá		Nc, Ng, Vt
bá cáo		Vt
bản án		Nc, Ng
balô		Np
bán		Vt
ám chỉ		Vt
bãi chợ		Vit
ăn bận		Vt
ai ngờ		X
ác ôn		Nc, Ng, Aa
áo gai		Nc
cá nóc		Nc, Ng
chắc dạ		Aa
ba đậu		Na
ba bảy		Na
bạch đới		Nc
badôca		Nc, Ng
bây		Vt, Aa
ấm êm		Aa
ám tả		Na
á kim		Nc, Ng
bàng hệ		Na
bar		Np
bập bẹ		Vit
ba tê		Nc, Ng
bàng bạc		Vit
bàn độc		Nc, Ng
bà nhạc		Nc, Ng
ẩn sĩ		Nc, Ng
ác thú		Nc, Ng
ăn rở		Vit
a giao		Nc, Ng
áp giá		Vit
cá diếc		Nc, Ng
ăn cám		Vit
ánh ỏi		Aa
ẩm		Aa
bại		Vit, Aa
báo chí		Nc, Ng
ân cần		Aa
a-men		Np
ấu học		Na
âm khí		Na
bản địa		Na
bi ký		Nc
banjô		Np
ăn giá		Vit
âm ấm		Aa
bạch lộ		Np
amen		E
bạc đầu		Aa
ào ạt		Aa
âm đạo		Nc
báo giá		Nc, Ng
bàn bạc		Vt
ẩn số		Na
ad hoc		X
bắp cải		Nc, Ng
ăn học		Vit
bá láp		Aa
áo tế		Nc
a-nốt		Np
ám ảnh		Vt
ác hiểm		Aa
bài chòi		Nc, Ng
bàng		Nc, Ng
ballad		Np
ăn hại		Vit
bàn là		Nc, Ng
bản âm		Nc, Ng
bàng bạc		Aa
án ngữ		Vt
ao tù		Nc
ăn cắp		Vt
ảo giác		Na
củ đao		Nc, Ng
án từ		Nc, Ng
balboa		Np
bà giằn		Nc, Ng
ăn mặc		Vt
áp lực		Na
azot		Np
bài vị		Nc, Ng
ảnh ẩn		Nc, Ng
an giấc		Vit
bạch cập		Nc
ắng cổ		Vit
bắc nam		Nl
bo bo		Nc, Ng, Aa
băng hà		Nc, Ng, Vit
bài bản		Nc, Ng
ăn gỏi		Vt
âm u		Aa
anh ách		Aa
ả hoàn		Nc, Ng
bọ chó múa bấc		X
bó giáp		Vit
báo hỷ		Vit
áp dẫn		Vt
bạch đàn		Nc, Ng
bái chổi		Nc, Ng
baht		Na
bấm giờ		Vit
am-pe		Np
ầu ơ		E
ách tắc		Vt
bài báng		Vt
bàn ủi		Nc, Ng
bán dẫn		Aa
bài vở		Nc, Ng
bao giờ		Pi
ban ân		Vit
ăn hỏi		Vit
balat		Np
acid béo		Np
a hoàn		Nc
ấp úng		Vit
ẩu đả		Vit
bẩy		Nn, Vt
ẩm xì		Aa
anh chị		Nc, Ng
anod		Np
bánh đà		Nc
an vị		Vit
âm vị		Na
amian		Np
ác mộng		Na
bá chiếm		Vt
ẩn chứa		Vt
báng bổ		Vt, Aa
ampe		Np
bộ bánh cóc		Nc, Ng
bạo		Aa
bể bơi		Nc, Ng
ăn vã		Vt
âm sắc		Na
ai oán		Aa
A Di Đà Phật		Np
ba phải		Aa
ba hoa		Vit, Aa
bắt ấn		Vit
ảnh âm		Nc, Ng
ắt là		Jd
ẵm ngửa		Vit
bản đồ học		Na
áo cà sa		Nc
alpha		Np
ác tâm		Na
âm lịch		Nc
bản lề		Nc
bằng cớ		Nc, Ng
ẩn hoa		Na
bao che		Vt
bắc cầu		Vit
bảo đảm		Na, Vt, Aa
ẩn dật		Vit
ân xá		Vt
áo lặn		Nc
ái hữu		Na
âm phủ		Na
bất đồ		Jt
ăn vạ		Vt
ấm cúng		Aa
bánh chả		Nc
ân tứ		Na
áp đảo		Vt
ăn làm		Vit
amip		Np
an bình		Aa
ác chiến		Vit
chỉ châm		Vit
ẫm ờ		Aa
áo kén		Nc
án phí		Na
bách hoá		Nc, Ng
ảnh ảo		Nc, Ng
cách chức		Vt
bản kẽm		Nc, Ng
asen		Np
á sừng		Na
ái ngại		Vt, Vim, Vtim
bách hợp		Nc
bấy bá		Aa
bạc lót		Nc
bàn chải		Nc, Ng
ấm ách		Aa
ảo hoá		Vit
ấm no		Aa
an-pha		Np
ao ước		Vt, Vim, Vtim
âm nhạc		Na
bềnh bệch		Aa
bàn cãi		Vit
ấm đầu		Aa
bao hàm		Vt
bấy chừ		Pd
bào tử		Nc, Ng
bắp đùi		Nc, Ng
ăn đất		X
ăn mòn		Vt
ám thị		Vit
afghani		Np
bái phục		Vt, Vim, Vtim
bào chữa		Vt
bài hải		Aa
bão hoà		Aa
âm tố		Nc, Ng
ậm à ậm ạch		Aa
ăn nằm		Vit
ăn cánh		Vit
ảo não		Aa
ác nhân		Nc, Ng
bạch biến		Na
batê		Np
bồ côi		Aa
anpha		Np
ba vạ		Aa
ăn bớt		Vt
ăn chia		Vt
áo não		Aa
áo bay		Nc
a tòng		Vt
ảo đăng		Nc, Ng
ác giả ác báo		Vit
ăn chực		Vit
ăn đứt		Vtc
bạch cầu		Nc, Ng
ba-lát		Np
bạc điền		Nc, Ng
báo đáp		Vt
ác quỉ		Nc, Ng
áp dụng		Vt
anh đào		Nc, Ng
áp chảo		Aa
áp giải		Vt
ẩu tả		Aa
ăn chặn		Vt
bãi thị		Vit
ảo ảnh		Nc, Ng
bào ảnh		Na
bắn mìn		Vit
áo hạt		Nc
a-mi-đan		Np
ang áng		Vt, Aa
á khôi		Nc, Ng
bái tạ		Vt
ẩn danh		Vit
áp đặt		Vt
bán lẻ		Vit
âm hồn		Na
bấm bụng		Vt, Vim, Vtim
amiđan		Np
ăn năn		Vit
ăn hớt		Vit
ăn ghém		Vit
ái phi		Nc
bạc nhạc		Nc, Ng, Aa
ác quỷ		Nc, Ng
bạch đầu		Nc
âm giai		Na
áo cánh		Nc
bắt giữ		Vt
ăn thề		Vit
a-xen		Np
ác khẩu		Aa
bạch điến		Na
bạc phếch		Aa
bài ngà		Nc, Ng
ăn rỗi		Vit
ba cọc ba đồng		Np
ân hận		Vitim
bánh chè		Nc
a xít		Np
almanac		Np
ba lơn		Aa
áp điện		Na
bải hoải		Aa
bức xúc		Aa
ăn diện		Vit
bạc mày		Nc, Ng
ăn nói		Vt
âm hao		Na
bánh đai		Nc
báo oán		Vt
ăn hàng		Vit
ác liệt		Aa
át chủ bài		Nc, Ng
ẩn ngữ		Na
bánh đúc		Nc
Âu hoá		Vt
ăng ẳng		Vit
ba giăng		Nc, Ng
bà xơ		Nc, Ng
biện bạch		Vt
an-ma-nác		Np
anh vũ		Nc, Ng
a-mi-ăng		Np
áo khách		Nc
báo cáo		Nc, Ng, Vt
ác tật		Na
an nghỉ		Vit
ẩn cư		Vit
anh em		Nc, Ng
bải hải		Aa
áo lót		Nc
anh hào		Na
ác tính		Aa
ân nghĩa		Na
bách diệp		Nc, Ng
báo cô		Vit
bầu eo		Nc, Ng
ăn hối lộ		Vit
bại hoại		Aa
ban đêm		Na
ẩn lậu		Vt
anmanac		Np
áo tắm		Nc
ác tăng		Nc, Ng
ăn khách		Vit
ăn lời		Vit
bazơ		Np
án gian		Nc, Ng
ẩm sì		Aa
ân oán		Na
ấm		Nc, Aa
bạch lạp		Nc, Ng
ampe kế		Nc
án mạng		Nc, Ng
ác miệng		Aa
áo giáp		Nc
bài làm		Nc, Ng
bàn cuốc		Nc, Ng
áp tải		Vt
bạc màu		Aa
bao lăm		Pi
ấn tín		Nc, Ng
anh túc		Nc, Ng
ba bề bốn bên		Np
ác vàng		Nc, Ng
á phiện		Nc, Ng
bạc giấy		Nc, Ng
bò lê bò la		Vit
ấn kiếm		Ng
bái lĩnh		Vt
an-bom		Np
âm ti		Na
bát giác		Ng
ai nấy		Pp
à uôm		Vit, Aa
bãi miễn		Vt
apphe		Np
ban cấp		Vt
ban ơn		Vit
anh hoa		Na
bán cầu		Nc, Ng
bạc mệnh		Aa
ẩn náu		Vit
an lành		Aa
an toạ		Vit
ách vận		Na
a phiến		Nc, Ng
bao tử		Nc
ba ri e		Nc
bán kết		Na
bằng sắc		Nc, Ng
áp-phe		Np
anh ánh		Aa
anofen		Np
ăn chịu		Vta
album		Np
anh dũng		Aa
ăn hiếp		Vt
bằng an		Aa
bắp cơ		Nc, Ng
ảo mộng		Na
ăn giơ		Vit
bản dạng		Nc, Ng
áp-xe		Np
an tâm		Vit
áo cưới		Nc
ăn liền		Aa
âm vị học		Na
bách khoa		Ng
bảo nhỏ		Vt
âm tần		Na, Aa
ban hành		Vt
ẩn nấp		Vit
âu nổi		Nc
bán khai		Aa
ăn mảnh		Vit
amatơ		Aa
âm nang		Nc, Ng
ăn khớp		Vt, Aa
bản sắc		Na
anot		Np
ăn mừng		Vt
bài tập		Nc, Ng
base		Np
áo đại cán		Nc
an nhàn		Aa
bản lĩnh		Na
ám quẻ		Vt
á thánh		Na
ắng họng		Vit
bán hoa		Vit
áo mưa		Nc
bạc tình		Aa
anbom		Np
ấn hành		Vt
bạn		Na, Vit
bạc phơ		Aa
am-pli		Np
ăn mày		Nc, Ng, Vit
áo khoác		Nc
bạc mầu		Aa
bào hao		Vit
ăn ngọn		Vit
bảng đen		Nc, Ng
ấm oái		Aa
áo sô		Nc
anbum		Np
ăn tạp		Vit
ám sát		Vt
ái quốc		Vit
ái khanh		Pp
âm vực		Na
bàn tán		Vit
bán chịu		Vit
bành bạnh		Aa
ánh xạ		Na
ân giảm		Vt
bạch kim		Nc, Ng
ái tình		Na
âu phục		Nc, Ng
áp điệu		Vt
bãi công		Vit
bánh cốm		Nc
ậm ạch		Aa
ampli		Np
áo nậu		Nc
ăn rơ		Vit
bài khoá		Nc, Ng
ban sơ		Na
a-tlát		Np
am hiểu		Vt
ải thâm		Aa
ắt hẳn		Jd
ăn vận		Vt
bàn mảnh		Vit
ba lông		Na
ẩn nhẫn		Vt
bách tán		Nc
an trí		Vit
an phận		Vit
almanach		Np
áo rộng		Nc
bà phước		Nc, Ng
áp phích		Nc, Ng
bạn đọc		Nc, Ng
ám hiệu		Nc, Na
bảnh choẹ		Aa
apxe		Np
bảo kiếm		Nc, Ng
áo nước		Nc
atlat		Np
á quân		Nc, Ng
áo phao		Nc
ẩn núp		Vit
bán đứng		Vt
bánh gai		Nc
ăn chay		Vit
bản mẫu		Nc, Ng
bản chức		Na
bãi binh		Vit
an thai		Vit
ắng lặng		Aa
ba-ti-nê		Vit
ấp a ấp úng		Vit
bazooka		Np
án sát		Nc, Ng
anh tài		Na
anh hùng		Na, Aa
ăn chẹt		Vt
âm cơ bản		Nc, Ng
ẩm ướt		Aa
anten		Np
ăn ốc nói mò		Vit
anh chị em		Nc, Ng
áng chừng		Vt
bạ ăn bạ nói		Vit
bạn con dì		Nc, Ng
ăn nhập		Vit
âm tín		Na
bản mệnh		Na
bài xích		Vt
ấm ớ		Vit, Aa
ánh kim		Na
a-mô-ni-ác		Np
băng tải		Nc, Ng
bây bẩy		Jd
ấn Độ giáo		Na
axit		Np
ba tháng		Na
âu đất		Nc
ẩn giấu		Vt
bao bì		Nc, Ng
an-đe-hít		Np
ám muội		Aa
an khang		Aa
ăn phải đũa		Vta
ẩm thực		Vit
bạch hầu		Na
batinê		Vit
ban mai		Na
bai-tơ		Np
âm binh		Nc, Ng
amoniac		Np
ăn đong		Vit
acid amin		Np
bách phân		Vit
bán hoá giá		Vit
bảo thủ		Vt, Aa
ẩn tàng		Vt
âm khu		Na
atlas		Np
bàn hoàn		Vit
áo bông		Nc
bạch đinh		Nc, Ng
an thần		Vit
ăn cướp		Vt
anh chàng		Nc, Ng
bạn hữu		Na
bạn hàng		Nc, Ng
bái vật		Nc, Ng
bắt nọn		Vit
bả vai		Nc
ăn nhịp		Vit
ẩm xìu		Aa
âm tính		Aa
ăn trả bữa		Vit
áo nhộng		Nc
bài ngoại		Vit
ăn gian		Vit
an táng		Vt
âm thầm		Aa
ba-ren		Np
âm điệu		Nc, Ng
bãi thải		Nc, Ng
ăn uống		Vit
amiant		Np
alcaloid		Np
anh hùng ca		Na
băng hoại		Vit
bao la		An
bại binh		Nc, Ng
bái yết		Vt
bản nhạc		Nc, Ng
balông		Np
bách chiến		Aa
ảo vọng		Na
a pa tít		Nc
áo xống		Ng
bài tây		Nc, Ng
ăn xài		Vit
bảo hành		Vt
ban khen		Vt
bạch tạng		Na
ba tui		Vit
ba sinh		Na
ai mượn		X
âm thoa		Na
ban tặng		Vt
bạch tiền		Nc
ba không		Na
bánh in		Nc
ba láp		Aa
ẩm thấp		Aa
bàn giấy		Nc, Ng
bàn đạp		Nc, Ng
báo giới		Nc, Ng
bàn tính		Nc, Ng
aceton		Np
ác mô ni ca		Nc
biên cảnh		Nl
âu lo		Vt
bãi tập		Nc, Ng
ân tình		Na, Aa
bách nhật		Nc
ẩn tình		Na
ăn chơi		Vit
ân ái		Na, Vit
áo tơi		Nc
acmonica		Np
bảng nhãn		Nc, Ng
bản mặt		Nc, Ng
bản chất		Na
ăn nhậu		Vit
âm ty		Nc, Ng
bản vẽ		Nc, Ng
ân nhân		Nc, Ng
bán công		Aa
ái nam ái nữ		Aa
bành tô		Nc, Ng
bài toán		Nc, Ng
a pác thai		Na
ăn nhằm		Vit
báo thức		Vit
bàn tính		Nc, Ng, Vt
bạn nối khố		Nc, Ng
ấm tích		Nc
bãi thực		Vit
bạch phàn		Nc
bạn vàng		Nc, Ng
Bà La Môn giáo		Na
ampere		Np
áp thấp		Na
bán mạng		Jd
ấn loát		Vit
asphan		Np
bắt vạ		Vt
bào bọt		Aa
bãi khoá		Vit
bang giao		Vit
áy náy		Vit
ái quần		Vit
aldehyd		Np
bàn toạ		Nc, Ng
âm tạp		Na
an ninh		Na, Aa
bào ngư		Nc, Ng
ban nãy		Na
ba quân		Ng
bà cốt		Nc, Ng
ăn xin		Vit
apacthai		Np
ác một cái là		X
áo choàng		Nc
bản tâm		Na
âu là		Jr
bài bông		Nc, Ng
bán đấu giá		Vit
ăn tiền		Vit
bao dong		Aa
bánh khảo		Nc
an toàn		Vit, Aa
ải quan		Nc, Ng
amygdal		Np
bánh chay		Nc
bảo mệnh		Vit
bạo chính		Na
âm cung		Nc
ba trợn		Aa
bản doanh		Nc, Ng
bạch đồng nữ		Nc, Ng
an dưỡng		Vit
ánh sáng		Na
ăng-ten		Np
báo tiệp		Vit
băm vằm		Vt
bàn đèn		Nc, Ng
bàn tay		Nc, Ng
báo yên		Vit
ăn xổi		Vit
âm vang		Na, Vit
bàn luận		Vt
ăngten		Nc
âu sầu		Aa
a-xphan		Np
ác nghiệt		Aa
bạch phiến		Nc
âm phần		Nc, Ng
bề trên		Nl
bàn là hơi		Nc, Ng
bánh rán		Nc
bãi nhiệm		Vt
bài mục		Nc, Ng
anh kiệt		Na
án thư		Nc, Ng
áo thụng		Nc
bichcôt		Np
apphich		Np
bã trầu		Nc
ba-ke-lit		Np
ba que		Aa
ấm ứ		Vit, Aa
ăn dầm nằm dề		Vit
bạch phụ tử		Nc
âu tàu		Nc
ăn theo		Vt
bần cùng hoá		Vit
bám trụ		Vt
bại liệt		Na, Aa
bao tay		Nc
bán non		Vit
bạc thau		Nc, Ng
bách tính		Nc, Ng
bảo hoàng		Aa
âm tiết		Nc, Ng
bảo toàn		Vt
acid acetic		Np
bàn chông		Nc, Ng
bất an		Aa
bàn lùi		Vit
ăn đường		Vit
bác vật		Nc, Ng
bàn định		Vt
bánh phở		Nc
bán phá giá		Vit
an-ca-lo-ít		Np
ấu thơ		Aa
bầu đông		Nc, Ng
bách thắng		Aa
bạc nhược		Aa
bánh cuốn		Nc
bào xoi		Nc
bản tính		Na
ấn giáo		Na
bảng chữ cái		Nc, Ng
bánh tét		Nc
áo quần		Nc
ác-quy		Nc, Ng
âm hưởng		Na
bánh giầy		Nc
bần hàn		Aa
bại trận		Vit
ấu trĩ		Aa
